file,module,ruleId,ruleFamily,severity,count,autoFixability,lines,sampleMessages
"src/components/InstallPrompt.tsx","src/components","react-hooks/set-state-in-effect","react-hooks","error","1","no","26:7","Error: Calling setState synchronously within an effect can trigger cascading renders Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes. Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect). /tmp/cosmelon-issue24/src/components/InstallPrompt.tsx:26:7 24 | // Check if already installed (standalone mode) 25 | if (window.matchMedia('(display-mode: standalone)').matches) { > 26 | setIsInstalled(true); | ^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect 27 | return; 28 | } 29 |"
"src/components/ProjectExitModal.tsx","src/components","react-hooks/set-state-in-effect","react-hooks","error","1","no","48:5","Error: Calling setState synchronously within an effect can trigger cascading renders Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes. Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect). /tmp/cosmelon-issue24/src/components/ProjectExitModal.tsx:48:5 46 | // Always reset to step 1 when the modal mounts (re-opens) 47 | useEffect(() => { > 48 | setStep('confirm'); | ^^^^^^^ Avoid calling setState() directly within an effect 49 | return () => { if (lockTimer.current) clearTimeout(lockTimer.current); }; 50 | }, []); 51 |"
"src/components/SlicingScene.tsx","src/components","react-hooks/static-components","react-hooks","error","1","no","350:57","Error: Cannot create components during render Components created during render will reset their state each time they are created. Declare components outside of render. /tmp/cosmelon-issue24/src/components/SlicingScene.tsx:350:57 348 | transition: phase === 'slicing' ? 'transform 0.15s ease-out' : 'transform 0.6s ease-in, opacity 0.3s', 349 | }}> > 350 | {(phase === 'ready' || phase === 'slicing') && <WholeMelonSVG size={120} />} | ^^^^^^^^^^^^^ This component is created during render 351 | {(phase === 'split' || phase === 'drops') && ( 352 | <div className=""relative"" style={{ fontSize: 100 }}> 353 | <span className=""absolute"" style={{ /tmp/cosmelon-issue24/src/components/SlicingScene.tsx:78:25 76 | 77 | // SVG whole watermelon for ready phase > 78 | const WholeMelonSVG = ({ size = 120 }: { size?: number }) => { | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ > 79 | const isGold = melonType === 'legendary'; | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ > 80 | const baseColor = isGold ? '#fbbf24' : '#2d8a4e'; … | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ > 97 | ); | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ > 98 | }; | ^^^^ The component is created during render here 99 | 100 | // 生成汁水粒子 101 | const spawnParticles = useCallback((cx: number, cy: number, angle: number) => {"
"src/components/Timer.tsx","src/components","react-hooks/set-state-in-effect","react-hooks","error","1","no","172:28","Error: Calling setState synchronously within an effect can trigger cascading renders Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes. Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect). /tmp/cosmelon-issue24/src/components/Timer.tsx:172:28 170 | containerRef.current.classList.add('animate-scale-in'); 171 | } > 172 | if (status !== 'idle') setShowQuickPicker(false); | ^^^^^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect 173 | prevStatusRef.current = status; 174 | }, [status]); 175 |"
"src/hooks/useAlienVisit.ts","src/hooks","react-hooks/exhaustive-deps","react-hooks","warning","1","no","161:6","React Hook useEffect has a missing dependency: 'alienVisit'. Either include it or remove the dependency array."
"src/hooks/useAuth.ts","src/hooks","react-hooks/immutability","react-hooks","error","1","no","54:13","Error: Cannot access variable before it is declared `scheduleRefresh` is accessed before it is declared, which prevents the earlier access from updating when this value changes over time. /tmp/cosmelon-issue24/src/hooks/useAuth.ts:54:13 52 | const data = await res.json() as { accessToken: string } 53 | localStorage.setItem(TOKEN_KEY, data.accessToken) > 54 | scheduleRefresh(data.accessToken) | ^^^^^^^^^^^^^^^ `scheduleRefresh` accessed before it is declared 55 | } else { 56 | clearAuth() 57 | } /tmp/cosmelon-issue24/src/hooks/useAuth.ts:37:3 35 | }, []) 36 | > 37 | const scheduleRefresh = useCallback((token: string) => { | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ > 38 | // Parse JWT to get exp | ^^^^^^^^^^^^^^^^^^^^^^^^^^^ > 39 | try { … | ^^^^^^^^^^^^^^^^^^^^^^^^^^^ > 65 | } | ^^^^^^^^^^^^^^^^^^^^^^^^^^^ > 66 | }, [clearAuth]) | ^^^^^^^^^^^^^^^^^^ `scheduleRefresh` is declared here 67 | 68 | const fetchMe = useCallback(async (token: string): Promise<User | null> => { 69 | try {"
"src/hooks/useGeneStorage.ts","src/hooks","react-hooks/refs","react-hooks","error","1","no","113:3","Error: Cannot access refs during render React refs are values that are not needed for rendering. Refs should only be accessed outside of render, such as in event handlers or effects. Accessing a ref value (the `current` property) during render can cause your component not to update as expected (https://react.dev/reference/react/useRef). /tmp/cosmelon-issue24/src/hooks/useGeneStorage.ts:113:3 111 | // Sync gene inventory to cloud on changes (skip initial mount) 112 | const onSyncRef = useRef(onSync); > 113 | onSyncRef.current = onSync; | ^^^^^^^^^^^^^^^^^ Cannot update ref during render 114 | const mountedRef = useRef(false); 115 | useEffect(() => { 116 | if (!mountedRef.current) {"
"src/hooks/useProjectTimer.ts","src/hooks","react-hooks/exhaustive-deps","react-hooks","warning","1","no","202:6","React Hook useEffect has a missing dependency: 'state'. Either include it or remove the dependency array."
"src/hooks/useProjectTimer.ts","src/hooks","react-hooks/set-state-in-effect","react-hooks","error","1","no","124:7","Error: Calling setState synchronously within an effect can trigger cascading renders Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes. Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect). /tmp/cosmelon-issue24/src/hooks/useProjectTimer.ts:124:7 122 | const saved = loadState(); 123 | if (saved && saved.phase !== 'setup' && saved.phase !== 'summary') { > 124 | setHasSavedProject(true); | ^^^^^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect 125 | } 126 | }, []); 127 |"
"src/hooks/useWarehouse.ts","src/hooks","react-hooks/refs","react-hooks","error","1","no","34:3","Error: Cannot access refs during render React refs are values that are not needed for rendering. Refs should only be accessed outside of render, such as in event handlers or effects. Accessing a ref value (the `current` property) during render can cause your component not to update as expected (https://react.dev/reference/react/useRef). /tmp/cosmelon-issue24/src/hooks/useWarehouse.ts:34:3 32 | // Sync warehouse to cloud on changes (skip initial mount) 33 | const onSyncRef = useRef(onSync); > 34 | onSyncRef.current = onSync; | ^^^^^^^^^^^^^^^^^ Cannot update ref during render 35 | const mountedRef = useRef(false); 36 | useEffect(() => { 37 | if (!mountedRef.current) {"
"src/hooks/useWeeklyShop.ts","src/hooks","react-hooks/purity","react-hooks","error","1","no","152:22","Error: Cannot call impure function during render `Date.now` is an impure function. Calling an impure function can produce unstable results that update unpredictably when the component happens to re-render. (https://react.dev/reference/rules/components-and-hooks-must-be-pure#components-and-hooks-must-be-idempotent). /tmp/cosmelon-issue24/src/hooks/useWeeklyShop.ts:152:22 150 | const [weeklyShop, setWeeklyShop] = useLocalStorage<WeeklyShop>( 151 | WEEKLY_SHOP_KEY, > 152 | createWeeklyShop(Date.now()), | ^^^^^^^^^^ Cannot call impure function 153 | migrateWeeklyShop, 154 | ); 155 |"
